ticker,TSNE1,TSNE2
A,6.491699,-8.8395405
AAPL,16.08311,-1.2231929
ABNB,16.744303,-3.668837
ABT,4.076486,-13.934999
ADBE,15.29859,-2.7868536
ADP,-6.8200417,16.311733
AEO,-13.231198,0.5703444
AEP,1.9554298,10.804982
AFL,2.6480362,11.690344
AFRM,-1.5094689,2.577561
AKAM,2.7655504,-2.7813435
ALB,0.2943287,-17.951155
ALGN,3.7731783,-17.402191
ALL,-3.6596034,7.7301083
ALLY,-5.168155,21.622757
ALNY,7.210574,1.6951413
AMAT,13.340749,-4.559634
AMC,-14.859462,14.095653
AMD,7.008553,-19.669085
AME,6.089613,-13.253444
AMGN,-7.0841002,17.545156
AMPX,17.932665,-4.535417
AMT,-5.7986193,23.666327
AMZN,-6.5495186,-5.410408
ANF,-15.728767,-3.70822
AON,-4.09128,12.98814
APA,1.366723,5.739871
APD,-0.96276313,-0.7595572
AR,-0.8056507,-18.406235
ASPI,22.556879,-5.61433
ASTS,21.150635,-6.0027823
ATNI,-2.0151954,0.34120658
AUR,25.738811,-7.3063216
AVB,14.776648,-11.915481
AVGO,11.491169,-5.5251803
AVY,-10.534728,5.469925
AWI,6.77691,-5.8828454
AXON,4.8633423,-1.0264359
AXP,-2.1734817,19.217531
BA,-8.801726,25.140728
BAC,-3.6668231,20.645386
BAH,-11.792195,12.500352
BALL,-6.6653347,4.432626
BAX,-4.906881,2.8920896
BBWI,-16.199705,-2.3279374
BDX,-0.903802,-3.2200797
BIIB,1.1693517,-17.06172
BILL,4.582983,-0.22465982
BJ,-19.394806,1.1530938
BK,-2.898407,20.896809
BKR,-0.9369623,-7.146142
BLDR,-13.228241,1.4009467
BLK,4.235823,9.330643
BMY,6.30091,3.23985
BOOT,-5.0476966,-13.104997
BSX,3.6153502,-12.143865
BWA,-6.909644,-3.101241
BWXT,-7.441645,2.158845
CACI,-7.2108717,-5.632499
CAG,-1.0042261,-5.7652025
CAH,-21.311964,3.7450736
CARR,-3.708356,-1.2552518
CASY,-17.310072,0.5706976
CAT,-5.363932,8.59788
CB,1.7563374,10.071652
CBOE,8.010112,-10.839361
CBRE,-13.396164,2.7568314
CCI,-6.3973236,24.762562
CCL,-3.2663336,9.569028
CDW,-12.216824,8.251816
CE,-3.8883233,11.584696
CF,11.777134,2.9176595
CFG,-2.9561222,19.026024
CHD,1.392763,-7.24013
CHTR,-5.0719495,17.464045
CI,-16.37862,3.021161
CL,-14.943065,22.777105
CLX,-11.338765,21.529196
CMCSA,0.6708536,5.5398536
CME,0.20465373,21.041609
CMG,-15.926941,-4.769053
CMI,-9.221463,-2.567975
CMS,-0.44493577,12.121468
CNK,24.652363,2.2771726
COF,-0.35459787,14.8033495
COO,1.8427347,-18.32283
COP,3.6184309,-11.205814
COST,-20.012415,0.92690825
COTY,-3.8514216,0.92430973
CPB,-6.881878,5.010892
CPRI,-11.325151,20.01575
CRL,-2.7818131,-3.1489906
CRM,8.625404,-7.9120765
CROX,-11.004555,3.450186
CRUS,9.143498,-17.181833
CRWD,5.155224,-0.3918164
CSCO,7.9580126,-2.102627
CSX,2.4742026,7.564289
CTRA,11.129077,-12.404137
CTSH,-1.206768,-13.072447
CVS,-15.168312,4.0908194
CVX,-1.7336304,-16.759308
CWK,-13.92718,4.346711
CZR,-4.6649203,17.064383
DASH,3.959949,-17.981577
DD,1.7915133,-17.739286
DDOG,10.32818,-21.221514
DE,-2.3406315,9.799259
DECK,13.091099,-1.6298829
DELL,-10.122963,23.477737
DG,-14.424123,3.252765
DHI,-1.4007996,-12.870191
DHR,3.4855485,-16.13369
DIOD,4.128402,-20.177607
DIS,3.0513449,-12.298564
DKNG,-11.169084,9.197491
DLR,13.655745,-10.617741
DLTR,-15.432292,-1.0136865
DNOW,-3.877424,-16.703905
DOCU,7.399718,-3.0099185
DOV,2.2517953,-11.558244
DUK,1.438081,11.620079
DVN,4.2546144,-9.928819
DXCM,8.764868,-4.8387923
EA,3.1531422,-10.451226
EBAY,7.1649456,3.5624561
ECL,1.6139321,-6.11938
EL,-6.301429,10.017053
ELS,3.147263,8.295032
EMN,-3.445438,-2.2262132
EMR,18.946157,-3.5188153
EOG,7.7144837,-11.589739
EPAM,-2.4474514,-13.133111
EPRT,16.418695,-12.678991
EQIX,3.1168153,9.591394
EQR,15.626048,-11.8047085
EQT,12.261571,-12.802923
ES,0.4445414,11.305857
ETN,3.5422668,-7.5976887
ETR,0.6132353,12.372525
EVR,4.2741113,-6.669827
EW,6.8150487,-18.732403
EXC,-0.031407826,11.580822
EXPI,-21.453524,2.5313675
EXR,14.540377,-11.334982
F,-6.5547333,11.742571
FAF,-3.6654396,0.30533546
FAST,12.700326,-1.4824367
FCX,4.4009514,-11.276193
FDX,-10.52539,2.6498492
FFIV,9.55769,-7.0750103
FIS,-1.2048594,-0.927743
FISV,2.2329986,9.280814
FITB,-1.1018583,21.548248
FLO,-13.096402,3.4767833
FLUT,-3.16025,1.7372981
FMC,18.389301,-2.2417054
FNF,-6.1533885,22.532656
FOX,3.7570148,-8.489759
FTI,-9.890141,-1.5049249
FTV,3.7628348,-14.88879
G,4.671934,-5.9886045
GD,-6.632124,-6.425477
GE,-5.553165,14.615938
GILD,12.302138,2.268329
GIS,-3.663228,6.8289127
GM,-6.8924136,6.9582014
GNRC,-4.393867,-4.517098
GO,-15.326889,0.75134957
GOOGL,9.327883,-15.202919
GPN,13.398192,-9.726582
GS,23.542213,0.29458907
GSAT,0.20352125,15.720611
GTLS,-2.1064944,1.2197778
GWW,-17.665628,-3.8356578
HAL,-6.4401255,-4.754947
HBAN,22.8964,-0.6377229
HCA,-10.608819,13.783695
HD,-11.573202,12.835968
HIG,-1.9983864,11.17935
HII,-10.429348,0.93271357
HLT,-15.054713,13.982411
HON,-4.475054,11.256422
HPE,-2.6428938,1.9512715
HPQ,-11.433532,23.16027
HRL,-4.424476,-15.365378
HSIC,-11.879576,0.85236484
HST,3.0092518,-11.088887
HSY,-8.414439,1.0104737
HUBB,4.31129,-7.3784146
HUN,-5.6407566,-4.1803946
IBM,5.715962,4.029762
IBP,-15.399722,-2.9680314
ICE,2.8148499,12.889756
IDXX,14.760126,-1.667433
IEX,3.321915,-13.081369
IFF,-2.3350074,-18.573618
ILMN,9.172855,-3.859347
IMAX,-0.43789646,-4.204811
INCY,10.832676,-18.04935
INTC,4.59737,-1.300564
IONQ,23.783463,-7.083895
IP,2.3411148,-5.940507
IQV,-4.48801,9.92961
IR,-0.8132326,-17.547638
IRM,-8.045949,24.42805
ISRG,9.615886,-15.996782
ITW,-15.497231,-6.3403816
JAZZ,-0.14722139,0.021493621
JJSF,-3.4071844,-13.738167
JLL,-13.715342,0.5309775
JNJ,12.098926,1.9612545
JPM,-3.1666436,22.199293
KEY,-2.903393,19.587233
KLAC,15.952897,-2.4638846
KMB,-9.999415,15.150138
KO,12.049517,3.5911684
KR,-19.578829,2.272622
KSS,-12.383222,3.4570634
KTOS,2.8531606,-20.67333
LAZ,-5.695923,10.573294
LDOS,-14.0955925,-2.6356769
LEA,-15.152277,2.4640093
LEN,-3.9964266,-13.991154
LII,-15.967963,-5.5907464
LIN,5.2231865,-10.025268
LMT,-10.478419,12.888037
LNC,-7.9493237,25.674763
LOW,-14.4129305,12.911349
LPLA,-9.672276,3.513071
LRCX,14.949573,-3.1633565
LUMN,-8.400438,23.448662
LUNR,12.852184,4.461286
LVS,-7.6620903,19.471292
LYFT,16.616037,-2.1775599
LYV,-9.918887,24.36162
M,-14.125615,2.8897583
MA,17.434639,-1.5402371
MAA,13.250353,-10.716425
MAR,-9.215995,12.354323
MAS,-11.280026,22.197254
MCD,-10.331316,21.81864
MCK,-21.334532,3.6727717
MDB,7.206477,-20.787151
MDLZ,-3.5282354,-0.4162706
MET,-7.474778,24.328493
META,11.731254,-7.026197
MGM,-7.305386,23.48643
MHK,-3.726416,-16.105507
MKC,-0.37542722,-6.243062
MKTX,8.848788,-11.657123
MMI,-4.625543,-18.213896
MMM,-7.3976765,14.539853
MNTS,26.683477,-6.7990546
MO,-11.57956,17.446644
MOS,-2.4113305,-3.9815164
MP,15.776016,-13.00278
MPC,-15.719292,3.2504559
MRK,10.013415,-4.1031365
MRNA,23.595274,-6.600781
MS,23.1274,-0.3020557
MSFT,12.274956,-5.6833057
MTB,22.92383,-0.73219514
MTD,-14.94343,22.777557
MTDR,11.845632,-10.980648
MU,7.4412074,-13.3548565
NCLH,-5.0660524,17.82578
NCMI,2.5635316,-20.326206
NDAQ,4.468741,7.764775
NEE,4.0901265,10.671388
NEM,9.027173,-11.684873
NET,5.2726254,1.1898657
NFLX,13.68769,-3.959675
NKE,-13.748404,-1.8609343
NNN,16.452774,-11.69567
NOC,-8.305901,0.18293567
NOV,-4.5554514,-16.763124
NOVT,3.8565207,-19.379553
NOW,6.987112,-2.8553796
NSC,3.7197275,7.7467
NTAP,-8.533665,16.607983
NTRA,8.123456,-18.857431
NTRS,-4.422797,22.303083
NUE,-3.8946714,-14.688509
NVDA,17.724394,0.35073462
NVR,12.406873,-1.6695962
NYT,-0.35901478,-12.43412
O,13.358339,-11.853665
OC,-7.7353454,3.8627412
OKTA,6.3324223,-20.251299
ONTO,5.976685,-19.395802
OPEN,17.376175,0.3655516
ORCL,-7.8344874,16.327944
OTIS,-15.935268,13.745805
OXY,1.0693543,-1.0500638
PANW,6.174836,0.09253328
PAYC,5.426697,4.214785
PAYX,11.301487,5.0614
PCAR,-1.7701596,-6.01679
PCG,-0.027310146,12.881095
PCTY,4.889713,3.5449817
PENN,-5.9177504,15.339446
PEP,-7.8055587,9.998604
PFE,0.36551717,-2.5885491
PFG,-7.082926,24.706991
PG,5.6409416,-6.300768
PH,5.2747,-7.1122727
PHM,-0.611607,-13.162028
PKG,-5.837136,-6.3718405
PL,21.616245,-3.95247
PLD,15.623645,-12.502731
PM,-11.702246,17.152428
PNC,-2.3372266,20.169735
PODD,-1.9797677,-8.275371
POOL,-15.250743,-2.173902
PPG,-7.1227593,-0.22147076
PRGO,13.290935,2.194723
PRU,-7.792378,25.112963
PSA,16.178719,-10.8194685
PSX,-16.690672,0.82486135
PVH,-4.9649506,-2.6580315
PYPL,-1.9224308,8.721096
QBTS,24.981441,-6.9000344
QCOM,8.289706,-3.584645
QSR,-4.292837,15.061683
RARE,23.164799,-4.3224196
RBLX,-9.345566,21.950996
RCL,10.708338,5.155988
RDW,18.501171,-6.754855
REGN,10.743243,-19.083696
RF,-0.79896736,20.754084
RGTI,25.74096,-7.6267114
RH,-9.250265,23.91092
RHP,-4.7309375,15.872529
RJF,-3.3824217,15.8841715
RKLB,10.741388,-19.46571
RKT,24.57957,2.148606
RL,-10.307729,-2.3087113
RLI,2.5404937,7.8146763
RMD,9.385087,-14.44579
RNG,-15.386546,12.637245
ROK,-6.8189125,0.6762518
