ticker,revenue,net_income,total_assets,total_liabilities,operating_cash_flow,rd_expense,stockholders_equity
A,6948.0,1303.0,12727.0,5986.0,1559.0,455.0,6741.0
AAPL,416161.0,112010.0,359241.0,285508.0,111482.0,34550.0,73733.0
ABNB,9917.0,4792.0,20959.0,12547.0,3884.0,1722.0,8412.0
ABT,44328.0,6524.0,86713.0,34583.0,9566.0,2942.0,52130.0
ADBE,23769.0,7130.0,29496.0,17873.0,10031.0,,11623.0
ADP,20560.9,4079.7,53369.3,47181.3,4939.7,988.6,6188.0
AEO,5547.236,191.983,4009.68,2316.527,456.182,,1693.153
AEP,21876.0,3696.0,114460.0,82204.0,6944.0,,31138.0
AFL,17164.0,3646.0,116470.0,86980.0,2555.0,,29490.0
AFRM,3224.412,52.186,11154.929,8085.919,793.909,,3069.009
AKAM,4208.175,452.031,11479.643,6502.272,1518.765,513.56,4977.371
ALB,5142.733,510.628,16374.211,6840.846,1282.267,51.398,9533.365
ALGN,4034.964,410.351,6233.693,2184.546,593.223,369.911,4049.147
ALL,67685.0,10282.0,119758.0,89169.0,10110.0,,30610.0
ALLY,7914.0,852.0,196002.0,180504.0,3729.0,,15498.0
ALNY,3713.937,313.747,4966.331,4177.155,524.08,1319.775,789.176
AMAT,28368.0,6998.0,36299.0,15884.0,7958.0,3570.0,20415.0
AMC,4848.9,632.4,8017.8,9912.6,119.8,,1894.8
AMD,34639.0,4335.0,76926.0,13927.0,7709.0,8091.0,62999.0
AME,7401.116,1480.142,16067.543,5438.757,1801.763,236.1,10628.786
AMGN,36751.0,7711.0,90586.0,81928.0,9958.0,,8658.0
AMPX,73.011,44.024,156.891,53.076,31.134,9.43,103.815
AMT,10644.6,2628.5,63190.4,52835.1,5464.0,,3652.5
AMZN,574785.0,30425.0,624894.0,338924.0,84946.0,,285970.0
ANF,5266.292,506.921,3541.874,2137.979,619.142,,1403.895
AON,17181.0,3695.0,50784.0,41236.0,3481.0,,9352.0
APA,9220.0,1434.0,17761.0,11668.0,4545.0,,6093.0
APD,12037.3,394.5,41059.5,23709.7,3256.8,96.3,15024.9
AR,4681.972,297.329,13010.05,5793.517,994.721,,7021.65
